Category,Diploma/Certificates,Associate,Bachelorâ€™s,CIP 2020 Categories to Include
Agriculture,,,0.42%,01
Natural resources and conservation,,,2.40%,03
Architecture,,,0.12%,04
"Area, ethnic, and gender studies",,,0.16%,05
Communication/journalism,,,7.59%,09
Communication technologies,,,0.00%,10
Computer and information sciences,,,1.64%,11
Personal and culinary services,,,0.00%,12
Education,,,8.26%,13
Engineering,,,0.00%,14
Engineering technologies,,,1.50%,15
"Foreign languages, literatures, and linguistics",,,0.83%,16
Family and consumer sciences,,,1.25%,19
Law/legal studies,,,0.00%,22
English,,,1.87%,23
Liberal arts/general studies,,,0.25%,24
Library science,,,0.00%,25
Biological/life sciences,,,4.34%,26
Mathematics and statistics,,,0.90%,27
Military science and military technologies,,,0.00%,28 & 29
Interdisciplinary studies,,,0.46%,30
Parks and recreation,,,8.48%,31
Philosophy and religious studies,,,0.69%,38
Theology and religious vocations,,,0.00%,39
Physical sciences,,,2.38%,40
Science technologies,,,0.00%,41
Psychology,,,5.77%,42
"Homeland Security, law enforcement, firefighting,",,,2.93%,43
Public administration and social services,,,2.05%,44
Social sciences,,,6.66%,45
Construction trades,,,0.00%,46
Mechanic and repair technologies,,,0.00%,47
Precision production,,,0.00%,48
Transportation and materials moving,,,0.00%,49
Visual and performing arts,,,6.44%,50
Health professions and related programs,,,10.36%,51
Business/marketing,,,21.12%,52
History,,,1.13%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
